step,train_ce,test_ce,train_mae,test_mae,train_rmse,test_rmse,mae_ci95,rmse_ci95,mae_seconds,bias,p95_abs_error,terminal_mae,initial_mae,macro_spearman,macro_kendall,sampled_reverse_fraction,sampled_delta_mae,quartile_mae,rmse_skill_vs_train_constant_mean
250,3.0569761693145017,3.162319481339572,0.04816470342588478,0.04940582779909164,0.05941024074867349,0.061308455831713245,"[0.045416649269814764, 0.05354339275982381]","[0.0568144931978199, 0.06569801568868115]",24.508584310202725,-0.045222744354889856,0.12413898147642603,0.031600689415686896,0.09533194931490081,0.9387240783410137,0.8184763824884794,0.3692396313364056,0.017691472540169628,"[0.07609223589367632, 0.05307583469298801, 0.036850803111779636, 0.031604437497922584]",0.15967828031168052
500,2.4436445495645915,2.5973636532934115,0.013194004204966145,0.016883752740536044,0.01874454903845174,0.024385056677462776,"[0.014286305116541241, 0.019767424274518167]","[0.019376205154062832, 0.029308996909809818]",8.375466942821914,-0.002695881940780964,0.04922830313444118,0.009847872807378215,0.024586981694613184,0.9679710410557184,0.8796802995391707,0.31739631336405527,0.009298682603920694,"[0.02346839554541345, 0.019873750071773038, 0.014851928938047163, 0.009340936406910519]",0.8670610108772927
750,2.3480682754556517,2.6081793270007307,0.0119851377105858,0.016945772812765166,0.017983314674885998,0.025847993572036706,"[0.014041889092764645, 0.020135960887146857]","[0.02027480285647337, 0.031229909823783757]",8.40623303331904,0.0012653104946106655,0.054492857679724636,0.007626988525901522,0.02767162211239338,0.968972559698366,0.8801123271889403,0.3179723502304147,0.009340532402741865,"[0.026944559075803096, 0.019552145860091383, 0.013559142905121137, 0.007727243410045048]",0.8506316762119643
1000,2.18711836408225,2.589253930641072,0.011462759322837104,0.015881936586993106,0.0164787928345643,0.023258630918741197,"[0.013289097937532851, 0.018731867765011755]","[0.019350436623234088, 0.0270263105335446]",7.878499342921047,-0.005327205503557967,0.052429993078112594,0.006551042057773364,0.030073904432356358,0.9790139296187682,0.9069700460829494,0.28513824884792627,0.008838315348973506,"[0.02348582145558404, 0.017875367958497788, 0.014866907769049118, 0.007299649164841477]",0.8790591190969668
1250,2.072194897918962,2.504104904597625,0.008958374687998523,0.013852553947149968,0.01343262712439077,0.020690462257560032,"[0.011486210865210265, 0.01642547201178266]","[0.0166873596995702, 0.024589592695105945]",6.871790261382861,-0.0005125799215030773,0.0444160133600232,0.006029131547880492,0.01991678574787719,0.9795768747381649,0.9090581797235024,0.2897465437788019,0.007672493465133183,"[0.019038299755525907, 0.015615548198443971, 0.013148562007700093, 0.0076078058269298966]",0.9042926656142822
1500,1.9896337896186327,2.482106333914479,0.007857382994578594,0.013356992169194979,0.01283812039293178,0.02058500777072111,"[0.010877769515929815, 0.01611610236655971]","[0.016341048419991195, 0.02464904588282793]",6.625958582065323,-3.4781261612286994e-05,0.04719987325370303,0.005858481653766441,0.02072209053273712,0.9801463657310431,0.9102102534562214,0.28110599078341014,0.007706713136864937,"[0.019797566105678146, 0.015464359944287156, 0.012096029086803486, 0.006070013540011132]",0.9052657755874444
1750,2.052345452514211,2.5600474059548497,0.00819183704126252,0.013498841041187657,0.012328192255053756,0.02133042854947448,"[0.010903984931435063, 0.016422949885977037]","[0.01649891528732994, 0.02597283739253459]",6.696325079165157,0.004899639365248731,0.04458967596292487,0.0053435668898081145,0.02180260087230376,0.9786539065772936,0.908482142857143,0.2828341013824885,0.007087187788959954,"[0.021006088105163405, 0.015572937579625952, 0.011851728301345637, 0.005564610178615632]",0.898280551879985
2000,2.015437019822587,2.5843794607291266,0.007470003825151902,0.012979779706776233,0.012083474866932111,0.02074965941090082,"[0.01030822736330005, 0.015981885500575898]","[0.01569611375814622, 0.02565271544467846]",6.43883605320813,0.005935494169664578,0.0456335272639989,0.006125572960757252,0.021368656706597124,0.9814162651864263,0.9161146313364057,0.2741935483870968,0.00711497756966909,"[0.019881471991539, 0.015069642054316188, 0.01198470544893228, 0.0049832993323174635]",0.9037442287006467
2250,1.9446373463641586,2.684334599745593,0.007614650993413566,0.013551596802894241,0.010650930910699002,0.020544655719952003,"[0.011158451740259676, 0.016316497484272725]","[0.015787632902087748, 0.025419456633790173]",6.722495454022403,-0.00018654641306576586,0.0407956931740045,0.0047904633185161015,0.020007636797215258,0.9801005446166735,0.9148905529953918,0.2684331797235023,0.007021403961872881,"[0.019205156198170568, 0.014827070566492953, 0.012840080962632783, 0.0073340794842806645]",0.9056368197478425
2500,1.7717668143200822,2.5877427346838107,0.005596209639017096,0.012646397334979806,0.008099509187351113,0.020619154234521854,"[0.010004271596179544, 0.015721101714744428]","[0.015088465360638738, 0.02614269092792436]",6.273456171305649,0.005471335002247153,0.03968421891331672,0.0055019349757848045,0.022794850303658416,0.9843488165060744,0.9275633640552996,0.24769585253456222,0.006091658508003805,"[0.020641853475743637, 0.01433215690693552, 0.010601920524745114, 0.005009658432494949]",0.9049512241643811
2750,1.7159286635661763,2.5735230430727825,0.0056906291009519395,0.012401955244968121,0.00961620823666316,0.019633342348065203,"[0.009971098357823394, 0.015174750511047412]","[0.014877218759279715, 0.024337972642560934]",6.152196598520519,0.0016965229716723635,0.0400594800710678,0.004136295265717698,0.021581532832767283,0.9841131650607456,0.92727534562212,0.24596774193548385,0.006088141451454572,"[0.019120343345483497, 0.013129378319717944, 0.011324436393416753, 0.00603366292125429]",0.9138226148508852
3000,1.688722656324639,2.636522616675523,0.005987066949923506,0.012178295424356682,0.0108233370210156,0.019836792171212335,"[0.009640874488062374, 0.01510444282560651]","[0.01466279507953889, 0.024970886520834998]",6.041246416842538,0.0011505370360152614,0.04100975953042507,0.004128027582607631,0.019672232014792308,0.9857234499371594,0.9317396313364057,0.23559907834101382,0.00640296345374929,"[0.017869990984244005, 0.014190168976451136, 0.011510301967583863, 0.005142719769147723]",0.9120273407877331
